"","data.lens_id","data.title","data.publication_type","data.year_published","first_name","last_name","initials","name","grid_id","country_code"
"1","091-265-753-392-171","'Beetle banks' as refuges for beneficial arthropods in farmland: long-term changes in predator communities and habitat","journal article",2004,"Alan","MacLeod","A","University of Southampton","grid.5491.9","GB"
"2","091-265-753-392-171","'Beetle banks' as refuges for beneficial arthropods in farmland: long-term changes in predator communities and habitat","journal article",2004,"Steve D.","Wratten","SD","University of Southampton","grid.5491.9","GB"
"3","091-265-753-392-171","'Beetle banks' as refuges for beneficial arthropods in farmland: long-term changes in predator communities and habitat","journal article",2004,"Steve D.","Wratten","SD","Canterbury of New Zealand",NA,"NZ"
"4","091-265-753-392-171","'Beetle banks' as refuges for beneficial arthropods in farmland: long-term changes in predator communities and habitat","journal article",2004,"N. W.","Sotherton","NW","The Game Conservancy Trust, Fordingbridge, Hampshire SP6 1EF, U.K.,",NA,"UK"
"5","091-265-753-392-171","'Beetle banks' as refuges for beneficial arthropods in farmland: long-term changes in predator communities and habitat","journal article",2004,"Matthew B.","Thomas","MB","University of Southampton","grid.5491.9","GB"
"6","091-265-753-392-171","'Beetle banks' as refuges for beneficial arthropods in farmland: long-term changes in predator communities and habitat","journal article",2004,"Matthew B.","Thomas","MB","Imperial College London","grid.7445.2","GB"
"7","048-719-607-506-77X","1H and 13C NMR spectroscopic studies of hexane-extractable lipids from soils under shelterbelts of different age and composition of plants","journal article",2014,"Lech Wojciech","Szajdak","LW","Polish Academy of Sciences","grid.413454.3","PL"
"8","048-719-607-506-77X","1H and 13C NMR spectroscopic studies of hexane-extractable lipids from soils under shelterbelts of different age and composition of plants","journal article",2014,"Victoria","Maryganova","V","National Academy of Sciences of Belarus","grid.410300.6","BY"
"9","048-719-607-506-77X","1H and 13C NMR spectroscopic studies of hexane-extractable lipids from soils under shelterbelts of different age and composition of plants","journal article",2014,"E. D.","Skakovskii","ED","National Academy of Sciences of Belarus","grid.410300.6","BY"
"10","048-719-607-506-77X","1H and 13C NMR spectroscopic studies of hexane-extractable lipids from soils under shelterbelts of different age and composition of plants","journal article",2014,"Ludmila","Tychinskaya","L","National Academy of Sciences of Belarus","grid.410300.6","BY"
"11","026-135-254-635-252","A 3-year field-scale monitoring of foliage-dwelling spiders (Araneae) in transgenic Bt maize fields and adjacent field margins","journal article",2006,"C.","Ludy","C","Bavarian State Research Center for Agriculture, Institute of Plant Protection, Lange Point 10, D-85354 Freising, Germany",NA,"GM"
"12","026-135-254-635-252","A 3-year field-scale monitoring of foliage-dwelling spiders (Araneae) in transgenic Bt maize fields and adjacent field margins","journal article",2006,"A.","Lang","A","Bavarian State Research Center for Agriculture, Institute of Plant Protection, Lange Point 10, D-85354 Freising, Germany",NA,"GM"
"13","003-815-496-301-575","A 5‐year comparison of overwintering polyphagous predator densities within a beetle bank and two conventional hedgebanks","journal article",2003,"K.L.","Collins","KL","Harper Adams University","grid.417899.a","GB"
"14","003-815-496-301-575","A 5‐year comparison of overwintering polyphagous predator densities within a beetle bank and two conventional hedgebanks","journal article",2003,"Nigel","Boatman","N","Allerton Research and Educational Trust, Loddington, Leicestershire LE7 9XE, UK",NA,"UK"
